species,count,sample,Burned,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,0,1,1,,,,,,,,,,,,,,,,,,,
Purshia tridentata,0,1,1,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,3,1,1,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,2,1,1,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,1,1,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,3,1,1,,,,,,,,,,,,,,,,,,,
Argemone munita,1,1,1,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,1,1,1,,,,,,,,,,,,,,,,,,,
Lupine argentus,2,1,1,,,,,,,,,,,,,,,,,,,
Bromus tectorum,20,1,1,,,,,,,,,,,,,,,,,,,
Bare ground,2,1,1,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,1,1,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,1,1,,,,,,,,,,,,,,,,,,,
Poa secunda,0,1,1,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,1,1,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,1,1,,,,,,,,,,,,,,,,,,,
Unknown,2,1,1,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,1,1,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,0,2,1,,,,,,,,,,,,,,,,,,,
Bare ground,6,2,1,,,,,,,,,,,,,,,,,,,
Lupine argentus,4,2,1,,,,,,,,,,,,,,,,,,,
Purshia tridentata,5,2,1,,,,,,,,,,,,,,,,,,,
Bromus tectorum,8,2,1,,,,,,,,,,,,,,,,,,,
Elymus elymoides,2,2,1,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,0,2,1,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,3,2,1,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,2,2,1,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,2,1,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,2,1,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,2,1,,,,,,,,,,,,,,,,,,,
Argemone munita,0,2,1,,,,,,,,,,,,,,,,,,,
Poa secunda,0,2,1,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,2,1,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,2,1,,,,,,,,,,,,,,,,,,,
Unknown,0,2,1,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,2,1,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,0,3,1,,,,,,,,,,,,,,,,,,,
Lupine argentus,3,3,1,,,,,,,,,,,,,,,,,,,
Lactuca sp.,4,3,1,,,,,,,,,,,,,,,,,,,
Bromus tectorum,11,3,1,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,4,3,1,,,,,,,,,,,,,,,,,,,
Purshia tridentata,1,3,1,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,1,3,1,,,,,,,,,,,,,,,,,,,
Poa secunda,1,3,1,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,3,1,,,,,,,,,,,,,,,,,,,
Bare ground,5,3,1,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,3,1,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,3,1,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,3,1,,,,,,,,,,,,,,,,,,,
Argemone munita,0,3,1,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,0,3,1,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,3,1,,,,,,,,,,,,,,,,,,,
Unknown,0,3,1,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,3,1,,,,,,,,,,,,,,,,,,,
Bromus tectorum,14,4,1,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,3,4,1,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,2,4,1,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,1,4,1,,,,,,,,,,,,,,,,,,,
Lupine argentus,3,4,1,,,,,,,,,,,,,,,,,,,
Purshia tridentata,1,4,1,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,1,4,1,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,0,4,1,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,4,1,,,,,,,,,,,,,,,,,,,
Unknown,2,4,1,,,,,,,,,,,,,,,,,,,
Bareground,3,4,1,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,4,1,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,4,1,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,4,1,,,,,,,,,,,,,,,,,,,
Argemone munita,0,4,1,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,0,4,1,,,,,,,,,,,,,,,,,,,
Poa secunda,0,4,1,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,4,1,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,3,5,1,,,,,,,,,,,,,,,,,,,
Purshia tridentata,2,5,1,,,,,,,,,,,,,,,,,,,
Bromus tectorum,9,5,1,,,,,,,,,,,,,,,,,,,
Bare ground,7,5,1,,,,,,,,,,,,,,,,,,,
Salsola sp.,1,5,1,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,5,5,1,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,1,5,1,,,,,,,,,,,,,,,,,,,
Elymus elymoides,1,5,1,,,,,,,,,,,,,,,,,,,
Tetradymia canescens,1,5,1,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,0,5,1,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,0,6,1,,,,,,,,,,,,,,,,,,,
Lupine argentus,4,6,1,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,6,1,,,,,,,,,,,,,,,,,,,
Bromus tectorum,19,6,1,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,5,6,1,,,,,,,,,,,,,,,,,,,
Purshia tridentata,1,6,1,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,6,1,,,,,,,,,,,,,,,,,,,
Poa secunda,1,6,1,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,6,1,,,,,,,,,,,,,,,,,,,
Bare ground,7,6,1,,,,,,,,,,,,,,,,,,,
Elymus elymoides,4,6,1,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,6,1,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,6,1,,,,,,,,,,,,,,,,,,,
Argemone munita,1,6,1,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,0,6,1,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,6,1,,,,,,,,,,,,,,,,,,,
Unknown,3,6,1,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,6,1,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,18,7,0,,,,,,,,,,,,,,,,,,,
Purshia tridentata,11,7,0,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,0,7,0,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,1,7,0,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,3,7,0,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,7,0,,,,,,,,,,,,,,,,,,,
Argemone munita,0,7,0,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,7,0,,,,,,,,,,,,,,,,,,,
Lupine argentus,0,7,0,,,,,,,,,,,,,,,,,,,
Bromus tectorum,14,7,0,,,,,,,,,,,,,,,,,,,
Bare ground,1,7,0,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,7,0,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,7,0,,,,,,,,,,,,,,,,,,,
Poa secunda,0,7,0,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,7,0,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,7,0,,,,,,,,,,,,,,,,,,,
Unknown,0,7,0,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,7,0,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,1,8,0,,,,,,,,,,,,,,,,,,,
Bare ground,3,8,0,,,,,,,,,,,,,,,,,,,
Lupine argentus,3,8,0,,,,,,,,,,,,,,,,,,,
Purshia tridentata,2,8,0,,,,,,,,,,,,,,,,,,,
Bromus tectorum,4,8,0,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,8,0,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,12,8,0,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,8,0,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,2,8,0,,,,,,,,,,,,,,,,,,,
Wyethia mollis,3,8,0,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,8,0,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,8,0,,,,,,,,,,,,,,,,,,,
Argemone munita,0,8,0,,,,,,,,,,,,,,,,,,,
Poa secunda,0,8,0,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,8,0,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,8,0,,,,,,,,,,,,,,,,,,,
Unknown,0,8,0,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,8,0,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,11,9,0,,,,,,,,,,,,,,,,,,,
Lupine argentus,1,9,0,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,9,0,,,,,,,,,,,,,,,,,,,
Bromus tectorum,0,9,0,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,6,9,0,,,,,,,,,,,,,,,,,,,
Purshia tridentata,5,9,0,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,9,0,,,,,,,,,,,,,,,,,,,
Poa secunda,0,9,0,,,,,,,,,,,,,,,,,,,
Wyethia mollis,3,9,0,,,,,,,,,,,,,,,,,,,
Bare ground,4,9,0,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,9,0,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,9,0,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,9,0,,,,,,,,,,,,,,,,,,,
Argemone munita,0,9,0,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,0,9,0,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,9,0,,,,,,,,,,,,,,,,,,,
Unknown,0,9,0,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,9,0,,,,,,,,,,,,,,,,,,,
Bromus tectorum,3,10,0,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,4,10,0,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,10,0,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,10,0,,,,,,,,,,,,,,,,,,,
Lupine argentus,1,10,0,,,,,,,,,,,,,,,,,,,
Purshia tridentata,5,10,0,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,10,0,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,11,10,0,,,,,,,,,,,,,,,,,,,
Wyethia mollis,4,10,0,,,,,,,,,,,,,,,,,,,
Unknown,0,10,0,,,,,,,,,,,,,,,,,,,
Bareground,2,10,0,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,10,0,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,0,10,0,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,10,0,,,,,,,,,,,,,,,,,,,
Argemone munita,0,10,0,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,0,10,0,,,,,,,,,,,,,,,,,,,
Poa secunda,0,10,0,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,10,0,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,7,11,0,,,,,,,,,,,,,,,,,,,
Purshia tridentata,6,11,0,,,,,,,,,,,,,,,,,,,
Bromus tectorum,7,11,0,,,,,,,,,,,,,,,,,,,
Bare ground,5,11,0,,,,,,,,,,,,,,,,,,,
Salsola sp.,0,11,0,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,11,0,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,11,0,,,,,,,,,,,,,,,,,,,
Elymus elymoides,0,11,0,,,,,,,,,,,,,,,,,,,
Tetradymia canescens,1,11,0,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,4,11,0,,,,,,,,,,,,,,,,,,,
Artemesia tridentata,7,12,0,,,,,,,,,,,,,,,,,,,
Lupine argentus,6,12,0,,,,,,,,,,,,,,,,,,,
Lactuca sp.,0,12,0,,,,,,,,,,,,,,,,,,,
Bromus tectorum,7,12,0,,,,,,,,,,,,,,,,,,,
Ericameria nauseosa,4,12,0,,,,,,,,,,,,,,,,,,,
Purshia tridentata,0,12,0,,,,,,,,,,,,,,,,,,,
Pleiacanthus spinosus,0,12,0,,,,,,,,,,,,,,,,,,,
Poa secunda,2,12,0,,,,,,,,,,,,,,,,,,,
Wyethia mollis,0,12,0,,,,,,,,,,,,,,,,,,,
Bare ground,2,12,0,,,,,,,,,,,,,,,,,,,
Elymus elymoides,1,12,0,,,,,,,,,,,,,,,,,,,
Balsamorhiza sagittata,4,12,0,,,,,,,,,,,,,,,,,,,
Nicotiana attenuata,0,12,0,,,,,,,,,,,,,,,,,,,
Argemone munita,0,12,0,,,,,,,,,,,,,,,,,,,
Chrysothamnus viscidiflorus,0,12,0,,,,,,,,,,,,,,,,,,,
Achnatherum thurberianum,0,12,0,,,,,,,,,,,,,,,,,,,
Unknown,1,12,0,,,,,,,,,,,,,,,,,,,
Achnatherum hymenoides,0,12,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
